date,mid_price,label
2019.06.07,290975,-0.177083333
2019.06.08,296600,-0.151162791
2019.06.09,305625,0.4
2019.06.10,312575,0.534391534
2019.06.11,312775,0.102857143
2019.06.12,319750,0.104815864
2019.06.13,323750,0.423592493
2019.06.14,322800,0.409090909
2019.06.15,319775,0.622159091
2019.06.16,319325,0.391549296
2019.06.17,321625,0.459537572
2019.06.18,336300,0.579710145
2019.06.19,355075,0.476190476
2019.06.20,360800,-1
2019.06.21,358050,0.265129683
2019.06.22,369250,0.420731707
2019.06.23,407125,0.588390501
2019.06.24,384850,0.614583333
2019.06.25,375050,0.259259259
2019.06.26,381475,0.305841924
2019.06.27,379750,0.571022727
2019.06.28,358025,0.686781609
2019.06.29,348050,0.303523035
2019.06.30,358700,0.002688172
2019.07.01,353225,0.470254958
2019.07.02,348500,0.494350282
2019.07.03,350525,-0.27027027
2019.07.04,357425,-0.058988764
2019.07.05,366775,0.482035928
2019.07.06,369725,0.417366947
2019.07.07,354550,0.196132597
2019.07.08,333750,0.264044944
2019.07.09,328200,0.383522727
2019.07.10,326900,0.559139785
2019.07.11,300875,0.587078652
2019.07.12,265125,0.111731844
2019.07.13,259550,-0.140449438
2019.07.14,247275,0.196969697
2019.07.15,259100,0.242677824
2019.07.16,263375,-0.143678161
2019.07.17,270525,-0.131868132
2019.07.18,266425,0.312997347
2019.07.19,262425,-0.084210526
2019.07.20,255325,0.498701299
2019.07.21,249500,0.510582011
2019.07.22,261425,0.388297872
2019.07.23,257000,0.472440945
2019.07.24,252100,0.144638404
2019.07.25,245725,-0.086253369
2019.07.26,249950,0.097087379
2019.07.27,248150,0.5
2019.07.28,253625,0.274336283
2019.07.29,255000,0.368421053
2019.07.30,259825,0.101492537
2019.07.31,262900,0.327380952
2019.08.01,260100,0.265861027
2019.08.02,271375,0.533333333
2019.08.03,275375,0.418181818
2019.08.04,269725,0.505882353
2019.08.05,264350,0.46875
2019.08.06,256400,0.261398176
2019.08.07,250925,0.534653465
2019.08.08,254575,0.381538462
2019.08.09,256275,0.102409639
2019.08.10,250100,0.143292683
2019.08.11,239500,0.093373494
2019.08.12,221575,0.094801223
2019.08.13,224200,0.403669725
2019.08.14,224625,0.506369427
2019.08.15,230825,0.052287582
2019.08.16,239275,0.111801242
2019.08.17,239750,-0.244776119
2019.08.18,228850,0.169753086
2019.08.19,228825,0.278287462
2019.08.20,231475,0.451492537
2019.08.21,228875,0.480286738
2019.08.22,226350,0.211409396
2019.08.23,227375,0.170818505
2019.08.24,224875,0.443037975
2019.08.25,214725,0.417777778
2019.08.26,204700,0.268867925
2019.08.27,204550,0.31838565
2019.08.28,206425,0.346613546
2019.08.29,206700,0.193548387
2019.08.30,211650,0.121107266
2019.08.31,215100,-0.203333333
2019.09.01,211800,0.317567568
2019.09.02,206850,0.326388889
2019.09.03,206000,0.229927007
2019.09.04,208700,0.779661017
2019.09.05,214900,0.559440559
2019.09.06,215125,0.230769231
2019.09.07,215550,0.117801047
2019.09.08,213900,0.284046693
2019.09.09,214475,0.263345196
2019.09.10,214200,0.457446809
2019.09.11,218600,0.336917563
2019.09.12,222825,0.308243728
2019.09.13,229200,0.081481481
2019.09.14,242850,0.09122807
2019.09.15,251600,0.407942238
2019.09.16,253175,0.276923077
2019.09.17,258100,0.491349481
2019.09.18,258550,0.406360424
2019.09.19,251225,0.52851711
2019.09.20,244625,0.554112554
2019.09.21,214650,0.315789474
2019.09.22,202200,0.389830508
2019.09.23,195525,0.244186047
2019.09.24,202525,0.168888889
2019.09.25,206475,0.176211454
2019.09.26,204025,0.109649123
2019.09.27,207800,0.012605042
2019.09.28,216150,0.433497537
2019.09.29,213725,0.171232877
2019.09.30,211800,0.478873239
2019.10.01,210225,0.208333333
2019.10.02,208800,0.319727891
2019.10.03,206775,0.420689655
2019.10.04,209650,0.405405405
2019.10.05,215925,0.373239437
2019.10.06,223025,0.475862069
2019.10.07,226775,0.395833333
2019.10.08,223750,0.426573427
2019.10.09,215425,0.291666667
2019.10.10,215475,0.134453782
2019.10.11,217500,0.316666667
2019.10.12,217325,0.365671642
2019.10.13,210375,0.296551724
2019.10.14,209125,0.395683453
2019.10.15,205925,0.410447761
2019.10.16,204725,0.445205479
2019.10.17,205300,0.361111111
2019.10.18,206700,0.321917808
2019.10.19,203825,0.503937008
2019.10.20,192025,0.377622378
2019.10.21,190125,0.321678322
2019.10.22,202400,0.337931034
2019.10.23,214525,0.443661972
2019.10.24,211300,0.464788732
2019.10.25,213850,0.153846154
2019.10.26,217400,0.354166667
2019.10.27,216500,0.445205479
2019.10.28,212200,0.455172414
2019.10.29,212500,0.472222222
2019.10.30,214375,0.413793103
2019.10.31,212600,0.428571429
2019.11.01,214450,0.383561644
2019.11.02,217000,0.366197183
2019.11.03,220125,0.326530612
2019.11.04,217075,0.496453901
2019.11.05,214250,0.3
2019.11.06,214425,0.315068493
2019.11.07,217600,0.454545455
2019.11.08,217500,0.521126761
2019.11.09,215800,0.412587413
2019.11.10,217800,0.262068966
2019.11.11,216775,0.408450704
2019.11.12,212850,0.312056738
2019.11.13,212450,0.383561644
2019.11.14,213775,0.303448276
2019.11.15,211100,0.408450704
2019.11.16,205550,0.155555556
2019.11.17,205250,0.310344828
2019.11.18,196350,0.372262774
2019.11.19,180150,0.305555556
