,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,KRW-ETH,2019-05-16T00:00:00,2019-05-16T09:00:00,291950,331000,289000,318200,2019-05-16 23:59:59.764,272090479576.58500,875272.57234866,292100,26100.0,0.0893529613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,KRW-ETH,2019-05-17T00:00:00,2019-05-17T09:00:00,317950,325200,269800,295300,2019-05-17 23:59:59.511,239414892857.20500,828085.64151919,318200,-22900.0,-0.0719673162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,KRW-ETH,2019-05-18T00:00:00,2019-05-18T09:00:00,294750,302650,281450,284000,2019-05-18 23:59:59.154,92668776050.92020,318184.29201681,295300,-11300.0,-0.03826617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,KRW-ETH,2019-05-19T00:00:00,2019-05-19T09:00:00,284150,312900,282350,309350,2019-05-19 23:59:55.701,102985492868.1760,341936.47189203,284000,25350.0,0.0892605634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,KRW-ETH,2019-05-20T00:00:00,2019-05-20T09:00:00,309150,309150,290000,302150,2019-05-20 23:59:53.512,70527711487.28930,235344.56190198,309350,-7200.0,-0.023274608000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,KRW-ETH,2019-05-21T00:00:00,2019-05-21T09:00:00,302300,313950,297900,304100,2019-05-22 00:00:00.136,60688455916.82570,199727.68352677,302150,1950.0,0.0064537481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,KRW-ETH,2019-05-22T00:00:00,2019-05-22T09:00:00,304100,311500,293650,297350,2019-05-22 23:59:55.430,48371746020.79510,159345.16916237,304100,-6750.0,-0.0221966458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,KRW-ETH,2019-05-23T00:00:00,2019-05-23T09:00:00,297200,299000,278750,295850,2019-05-23 23:59:59.120,58708616999.23040,202716.17039072,297350,-1500.0,-0.0050445603000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,KRW-ETH,2019-05-24T00:00:00,2019-05-24T09:00:00,295850,303850,290550,299000,2019-05-24 23:59:58.726,45887177748.58010,153890.50445969,295850,3150.0,0.0106472875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,KRW-ETH,2019-05-25T00:00:00,2019-05-25T09:00:00,299000,309050,296000,299200,2019-05-25 23:59:55.681,29376340121.926800,97342.50034489,299000,200.0,0.0006688963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,KRW-ETH,2019-05-26T00:00:00,2019-05-26T09:00:00,299200,322650,292800,316350,2019-05-27 00:00:00.228,51545966143.08470,167933.54256786,299200,17150.0,0.0573195187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,KRW-ETH,2019-05-27T00:00:00,2019-05-27T09:00:00,316350,330300,313700,321000,2019-05-27 23:59:58.549,77797221366.29690,243344.46347106,316350,4650.0,0.0146989094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,KRW-ETH,2019-05-28T00:00:00,2019-05-28T09:00:00,321000,326500,315600,321450,2019-05-28 23:59:57.117,49437052011.988400,154074.68646923,321000,450.0,0.0014018692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,KRW-ETH,2019-05-29T00:00:00,2019-05-29T09:00:00,321450,330000,311400,321150,2019-05-29 23:59:56.600,62833515173.43910,195056.64206746,321450,-300.0,-0.0009332711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,KRW-ETH,2019-05-30T00:00:00,2019-05-30T09:00:00,321150,346300,299200,311200,2019-05-30 23:59:59.046,140742923109.37700,426341.69313599,321150,-9950.0,-0.030982407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,KRW-ETH,2019-05-31T00:00:00,2019-05-31T09:00:00,311200,325050,299800,324500,2019-05-31 23:59:59.413,62882941019.00520,200407.20538499,311200,13300.0,0.0427377892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,KRW-ETH,2019-06-01T00:00:00,2019-06-01T09:00:00,324500,334000,316600,319800,2019-06-01 23:59:57.480,45049659840.91910,138381.27412781,324500,-4700.0,-0.0144838213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,KRW-ETH,2019-06-02T00:00:00,2019-06-02T09:00:00,320100,328700,319600,323700,2019-06-02 23:59:53.508,28867842012.493600,89033.05292561,319800,3900.0,0.012195122000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,KRW-ETH,2019-06-03T00:00:00,2019-06-03T09:00:00,323700,325900,307050,307350,2019-06-04 00:00:00.030,45891071425.81480,144127.79198757,323700,-16350.0,-0.050509731200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,KRW-ETH,2019-06-04T00:00:00,2019-06-04T09:00:00,307600,310400,289200,297500,2019-06-05 00:00:00.070,47339219697.39730,156662.26836591,307350,-9850.0,-0.032048153600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,KRW-ETH,2019-06-05T00:00:00,2019-06-05T09:00:00,297500,306350,293000,302350,2019-06-05 23:59:33.824,34391461959.333900,114589.6943649,297500,4850.0,0.016302521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,KRW-ETH,2019-06-06T00:00:00,2019-06-06T09:00:00,302350,305000,289650,303400,2019-06-06 23:59:59.322,21305184632.59230,71637.85531504,302350,1050.0,0.0034727964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,KRW-ETH,2019-06-07T00:00:00,2019-06-07T09:00:00,303400,307700,297000,304100,2019-06-07 23:59:59.216,31722114971.804100,104939.7333047,303400,700.0,0.0023071852000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,KRW-ETH,2019-06-08T00:00:00,2019-06-08T09:00:00,304200,305850,298000,299950,2019-06-08 23:59:58.947,14786426280.62950,48957.62828318,304100,-4150.0,-0.0136468267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,KRW-ETH,2019-06-09T00:00:00,2019-06-09T09:00:00,300000,301200,283500,286900,2019-06-10 00:00:00.320,20046285930.750000,68392.08726178,299950,-13050.0,-0.0435072512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,KRW-ETH,2019-06-10T00:00:00,2019-06-10T09:00:00,286500,301300,280650,300950,2019-06-11 00:00:00.295,29121887390.62240,99713.42864817,286900,14050.0,0.0489717672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,KRW-ETH,2019-06-11T00:00:00,2019-06-11T09:00:00,301150,302200,291000,297450,2019-06-11 23:59:48.815,21174790129.256100,71302.10718489,300950,-3500.0,-0.0116298388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
